집계 일시,NODE_ID,ACSR_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE,LOS,VC,KLOS,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0003,ACSR000002,4,17,45.76,0,0,53.68,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0003,ACSR000003,6,25,60.57,0,0,55.76,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0003,ACSR000004,10,59,44.58,0,0,38.79,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0004,ACSR000001,7,89,103.24,167.58,7.35,102.5,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0004,ACSR000002,12,7,52.67,0,20.03,46.67,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0004,ACSR000003,14,29,93.8,4.08,12.97,28.69,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0004,ACSR000004,4,19,43.27,0,11.87,88.37,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0005,ACSR000001,3,45,69.56,44.69,6.44,77.25,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0005,ACSR000002,2,14,49.17,0,7.75,100,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0005,ACSR000003,1,44,53.5,73.37,16.22,67.69,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0005,ACSR000004,7,15,80.06,3.27,11.45,62.28,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0001,ACSR000001,2,77,102.28,0.76,0.03,58.56,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0001,ACSR000002,0,6,105.61,0,0,35.12,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0001,ACSR000003,11,23,114.22,0,0,15.44,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0002,ACSR000001,20,67,72.71,195.84,21.93,55.18,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0002,ACSR000002,7,60,62.61,0,0.02,72.87,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0002,ACSR000003,6,26,57.65,0,0,19.14,999.9,,,,,,,,,,,,,,,
오전 8:45:00,SH009N0002,ACSR000004,4,75,70.08,0,0,108.7,999.9,,,,,,,,,,,,,,,
