TOT_DT,LINK_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE
2024-12-12 23:55:00,2240014201,1,7.0,107.0,0.47
2024-12-12 23:30:00,2240014201,2,18.0,90.38,1.4925
2024-12-12 23:35:00,2240014201,2,20.0,93.9,1.288
2024-12-12 23:40:00,2240014201,2,25.0,87.4,1.754
2024-12-12 23:45:00,2240014201,2,24.0,91.7,1.562
2024-12-12 23:50:00,2240014201,2,21.0,95.38,1.65
2024-12-12 23:55:00,2240014201,2,22.0,94.88,1.74
2024-12-12 23:30:00,2240014201,3,26.0,92.62,2.1525
2024-12-12 23:35:00,2240014201,3,26.0,87.5,1.774
2024-12-12 23:40:00,2240014201,3,29.0,93.0,1.878
2024-12-12 23:45:00,2240014201,3,28.0,94.3,1.798
2024-12-12 23:50:00,2240014201,3,19.0,92.75,1.505
2024-12-12 23:55:00,2240014201,3,23.0,96.5,1.7875
2024-12-12 23:30:00,2240014201,4,30.0,92.0,2.62
2024-12-12 23:35:00,2240014201,4,25.0,87.2,1.736
2024-12-12 23:40:00,2240014201,4,42.0,91.7,2.83
2024-12-12 23:45:00,2240014201,4,28.0,92.0,1.93
2024-12-12 23:50:00,2240014201,4,28.0,86.5,2.415
2024-12-12 23:55:00,2240014201,4,29.0,98.82,2.3725
2024-12-12 23:30:00,2240157100,1,10.0,102.88,0.6275
2024-12-12 23:35:00,2240157100,1,10.0,102.0,0.606
2024-12-12 23:40:00,2240157100,1,13.0,109.2,0.848
2024-12-12 23:45:00,2240157100,1,9.0,102.0,0.588
2024-12-12 23:50:00,2240157100,1,13.0,103.12,0.76
2024-12-12 23:55:00,2240157100,1,13.0,102.62,0.865
2024-12-12 23:30:00,2240157100,2,10.0,95.88,1.3375
2024-12-12 23:35:00,2240157100,2,12.0,91.9,0.984
2024-12-12 23:40:00,2240157100,2,14.0,93.2,1.14
2024-12-12 23:45:00,2240157100,2,20.0,86.8,1.706
2024-12-12 23:50:00,2240157100,2,14.0,84.12,2.03
2024-12-12 23:55:00,2240157100,2,13.0,91.25,1.3475
2024-12-12 23:30:00,2240157100,3,4.0,91.5,0.72
2024-12-12 23:35:00,2240157100,3,10.0,92.7,0.842
2024-12-12 23:40:00,2240157100,3,11.0,91.8,0.832
2024-12-12 23:45:00,2240157100,3,0.0,0.0,0.0
2024-12-12 23:50:00,2240157100,3,0.0,0.0,0.0
2024-12-12 23:55:00,2240157100,3,2.0,94.25,0.39
2024-12-12 23:30:00,2240157300,1,19.0,102.44,0.785
2024-12-12 23:35:00,2240157300,1,22.0,101.65,0.616
2024-12-12 23:40:00,2240157300,1,23.0,107.25,0.858
2024-12-12 23:45:00,2240157300,1,27.0,100.75,0.767
2024-12-12 23:50:00,2240157300,1,24.0,103.81,0.7138
2024-12-12 23:55:00,2240157300,1,29.0,103.94,0.7675
2024-12-12 23:30:00,2240157300,2,29.0,92.12,1.5912
2024-12-12 23:35:00,2240157300,2,32.0,91.05,1.098
2024-12-12 23:40:00,2240157300,2,25.0,91.85,1.216
2024-12-12 23:45:00,2240157300,2,40.0,83.55,1.889
2024-12-12 23:50:00,2240157300,2,24.0,81.12,2.1325
2024-12-12 23:55:00,2240157300,2,24.0,93.94,1.0762
2024-12-12 23:30:00,2240157300,3,16.0,88.0,1.1375
2024-12-12 23:35:00,2240157300,3,21.0,91.05,1.124
2024-12-12 23:40:00,2240157300,3,25.0,86.0,1.33
2024-12-12 23:45:00,2240157300,3,7.0,95.95,0.466
2024-12-12 23:50:00,2240157300,3,7.0,94.81,0.345
2024-12-12 23:55:00,2240157300,3,6.0,89.06,0.8775
2024-12-12 23:30:00,2240157400,1,9.0,102.0,0.9425
2024-12-12 23:35:00,2240157400,1,12.0,101.3,0.626
2024-12-12 23:40:00,2240157400,1,10.0,105.3,0.868
2024-12-12 23:45:00,2240157400,1,18.0,99.5,0.946
2024-12-12 23:50:00,2240157400,1,11.0,104.5,0.6675
2024-12-12 23:55:00,2240157400,1,16.0,105.25,0.67
2024-12-12 23:30:00,2240157400,2,19.0,88.38,1.845
2024-12-12 23:35:00,2240157400,2,20.0,90.2,1.212
2024-12-12 23:40:00,2240157400,2,11.0,90.5,1.292
2024-12-12 23:45:00,2240157400,2,20.0,80.3,2.072
2024-12-12 23:50:00,2240157400,2,10.0,78.12,2.235
2024-12-12 23:55:00,2240157400,2,11.0,96.62,0.805
