LINK_ID,lane,threshold
113.0,1,0.002281061
113.0,2,0.002281061
113.0,3,0.002281061
113.0,4,0.0039693713
114.0,1,0.0039351694
114.0,2,0.004305212
114.0,3,0.0040627345
114.0,4,0.00400506
115.0,1,0.0025225584
115.0,2,0.0024201982
115.0,3,0.0025514562
116.0,1,0.0032784455
116.0,2,0.0032658312
117.0,1,0.0028795914
117.0,2,0.003057955
118.0,1,0.003949197
118.0,2,0.0039412617
119.0,1,0.0050000097
119.0,2,0.003459254
120.0,1,0.0032435337
120.0,2,0.005540362
121.0,1,0.0031008616
121.0,2,0.0026725682
122.0,1,0.003120348
122.0,2,0.0036925646
123.0,1,0.0060912836
123.0,2,0.043741494
124.0,1,0.0050648907
125.0,1,0.0035184235
126.0,1,0.011005663
126.0,2,0.0072126053
127.0,1,0.0037793866
127.0,2,0.0034110213
127.0,3,0.0036530963
128.0,1,0.0052794744
128.0,2,0.007960116
128.0,3,0.016239746
128.0,4,0.009589553
128.0,5,0.07785889
129.0,1,0.017085657
129.0,2,0.002421653
129.0,3,0.0025561228
129.0,4,0.005793065
129.0,5,0.002815705
130.0,1,0.018187325
130.0,2,0.011684155
130.0,3,0.004849915
130.0,4,0.0149709415
130.0,5,0.0075818673
131.0,1,0.0032364137
131.0,2,0.006754721
131.0,3,0.0025634426
131.0,4,0.0032190392
132.0,1,0.0050770734
132.0,2,0.0039632525
132.0,3,0.004854168
133.0,1,0.053149797
133.0,2,0.004191923
134.0,1,0.0049252026
134.0,2,0.0048940494
134.0,3,0.0032964097
134.0,4,0.0042593456
135.0,1,0.0031775653
135.0,2,0.009417651
135.0,3,0.0072086575
136.0,1,0.002543289
136.0,2,0.0051694596
136.0,3,0.0038009523
136.0,4,0.003586336
136.0,5,0.0028561696
136.0,6,0.002354673
136.0,7,0.0024569477
137.0,1,0.0040447474
137.0,2,0.0027397694
137.0,3,0.003129556
138.0,1,0.00506489
138.0,2,0.002516452
138.0,3,0.0024483597
139.0,1,0.003623089
139.0,2,0.004703203
139.0,3,0.0046666823
139.0,4,0.005830009
140.0,1,0.0100386245
140.0,2,0.0047151404
140.0,3,0.002048213
143.0,1,0.0025445684
143.0,2,0.0025445684
144.0,1,0.0025445684
144.0,2,0.0025445684
145.0,1,0.005210702
145.0,2,0.0040990533
146.0,1,0.0034558785
146.0,2,0.0031489683
147.0,1,0.0029526332
147.0,2,0.002539211
