LINK_ID,lane,threshold
83.0,4,0.00053159735
84.0,1,0.0007327483
84.0,2,0.0007430714
84.0,3,0.0009242329
85.0,1,0.000977018
85.0,2,0.000845045
86.0,1,0.0015968706
87.0,1,0.0008449109
87.0,2,0.0006473526
87.0,3,0.0014137119
88.0,1,0.0005717502
88.0,2,0.00048375592
88.0,3,0.00051623094
89.0,1,0.0006387076
89.0,2,0.0010246583
89.0,3,0.00057188695
89.0,4,0.0012082759
90.0,1,0.00068789907
90.0,2,0.00075543596
91.0,1,0.00066448154
91.0,2,0.0022460907
92.0,1,0.0010870764
92.0,2,0.00075824116
93.0,1,0.0007938468
93.0,2,0.001012635
94.0,1,0.0007454054
94.0,2,0.0005487431
95.0,1,0.00076683797
95.0,2,0.00088799786
96.0,1,0.0014516232
97.0,1,0.0010644895
98.0,1,0.0006745647
98.0,2,0.0022911166
99.0,1,0.0016466666
99.0,2,0.0005384154
100.0,1,0.00060161174
100.0,2,0.0010096303
101.0,1,0.00059806893
101.0,2,0.00063821784
102.0,1,0.0011920177
103.0,1,0.0015820821
104.0,1,0.001278936
104.0,2,0.0022030254
105.0,1,0.00065543165
106.0,1,0.0006067978
106.0,2,0.00084964774
107.0,1,0.0006928094
107.0,2,0.0006439055
108.0,1,0.0007690862
109.0,1,0.0007418577
110.0,1,0.000699282
110.0,2,0.00060199725
111.0,1,0.00064251485
111.0,2,0.00068260264
112.0,1,0.0005938612
112.0,2,0.0005756454
112.0,3,0.00056459644
112.0,4,0.0005060547
113.0,1,0.0003907938
113.0,2,0.0003907938
113.0,3,0.0003907938
113.0,4,0.00036737486
114.0,1,0.0005236412
114.0,2,0.00060919113
114.0,3,0.0004635711
114.0,4,0.0004401633
115.0,1,0.0007265132
115.0,2,0.00055332057
115.0,3,0.00071831315
116.0,1,0.0007107533
116.0,2,0.0006348408
117.0,1,0.0006777221
117.0,2,0.00075264706
118.0,1,0.00055595755
118.0,2,0.0016891905
119.0,1,0.0006737362
119.0,2,0.0006469271
120.0,1,0.0005581324
120.0,2,0.0005938735
121.0,1,0.00071516156
121.0,2,0.00039913435
122.0,1,0.00045314163
122.0,2,0.0006275368
123.0,1,0.0017243661
123.0,2,0.0015755078
124.0,1,0.0010290818
125.0,1,0.0006207795
126.0,1,0.002092444
126.0,2,0.0023979703
127.0,1,0.00083105353
127.0,2,0.0006544148
127.0,3,0.00074546225
128.0,1,0.00037642484
128.0,2,0.000459567
128.0,3,0.00073734287
128.0,4,0.0008625678
128.0,5,0.0028774936
129.0,1,0.00090429327
129.0,2,0.0005259143
129.0,3,0.00045834735
129.0,4,0.00081271393
129.0,5,0.0005091939
130.0,1,0.0047994168
130.0,2,0.0032981436
130.0,3,0.0029488376
130.0,4,0.0025159204
130.0,5,0.0037190286
131.0,1,0.0020536715
131.0,2,0.00094358285
131.0,3,0.00041607278
131.0,4,0.0005468579
132.0,1,0.002948641
132.0,2,0.00093235145
132.0,3,0.001424298
133.0,1,0.09778393
133.0,2,0.00041347646
134.0,1,0.0006426987
134.0,2,0.00064581685
134.0,3,0.0005494509
134.0,4,0.0005306417
135.0,1,0.0015178956
135.0,2,0.0068041896
135.0,3,0.0027560375
136.0,1,0.0012952932
136.0,2,0.0009142962
136.0,3,0.00077396596
136.0,4,0.0006782765
136.0,5,0.0006971079
136.0,6,0.0005505617
136.0,7,0.00046873718
137.0,1,0.0008632839
137.0,2,0.0006279747
137.0,3,0.00096918386
138.0,1,0.0015572591
138.0,2,0.0009020009
138.0,3,0.0009187941
139.0,1,0.00057252176
139.0,2,0.0005188345
139.0,3,0.00050070055
139.0,4,0.0007116671
140.0,1,0.00092035014
140.0,2,0.00045330366
140.0,3,0.00041543503
143.0,1,0.00014460344
143.0,2,0.00014460344
144.0,1,0.00014460344
144.0,2,0.00014460344
145.0,1,0.000557265
145.0,2,0.0005028393
146.0,1,0.0009487604
146.0,2,0.00096378475
147.0,1,0.0009789474
147.0,2,0.00071291113
148.0,1,0.001566383
148.0,2,0.0009228891
148.0,3,0.0011067952
149.0,1,0.00031986966
149.0,2,0.00033044704
149.0,3,0.00032798905
150.0,1,0.0016369057
150.0,2,0.0014016692
150.0,3,0.0010723977
151.0,1,0.0009120063
151.0,2,0.0005338754
151.0,3,0.0010702081
151.0,4,0.00055159203
151.0,5,0.004096932
152.0,1,0.0075999163
152.0,2,0.015463921
152.0,3,0.0008441774
153.0,1,0.0015335822
153.0,2,0.0015084255
153.0,3,0.00077266205
153.0,4,0.00064402155
154.0,1,0.00084620476
154.0,2,0.0006916745
154.0,3,0.0005829238
154.0,4,0.0006677272
155.0,1,0.00062999316
155.0,2,0.00044852778
155.0,3,0.0006348744
