TOT_DT,LINK_ID,LANE_NO,Thresholds,recon_error,anomaly,link_anomaly,true_anomaly,is_correct
2025-09-20 14:39:00,SH001N0002_ACSR000001,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000001,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000001,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000001,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000001,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000002,1,0.00051965425,0.00022344706,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000002,1,0.00051965425,9.666515e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000002,2,0.00015102504,2.7815415e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000002,2,0.00015102504,1.7773707e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000002,3,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000002,3,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000002,4,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000002,4,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000002,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000002,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000002,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000002,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000002,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000002,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000002,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000002,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000002,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000002,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000003,1,8.0254555e-05,5.3105705e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000003,1,8.0254555e-05,2.7529511e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000003,2,0.000118554715,4.0401403e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000003,2,0.000118554715,6.325207e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000003,3,0.00018684333,3.9590024e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000003,3,0.00018684333,8.5771455e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000003,4,0.00029890717,0.00013264541,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000003,4,0.00029890717,0.00017189868,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000003,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000003,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000003,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000003,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000003,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000003,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000003,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000003,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000003,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000003,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000004,1,0.0017476232,6.2510626e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000004,1,0.0017476232,6.321414e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000004,2,0.0016835079,0.00012267302,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000004,2,0.0016835079,0.0001220975,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000004,3,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000004,3,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000004,4,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000004,4,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000004,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000004,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000004,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000004,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000004,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000004,7,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000004,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000004,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000004,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000004,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000001,1,0.000322687,2.6746362e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000001,1,0.000322687,7.516292e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000001,2,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000001,2,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000001,3,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000001,3,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0003_ACSR000001,4,1.37081215e-05,1.37081215e-05,0,0,0,1
