TOT_DT,LINK_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE
2024-11-29 00:10:00,2240012900,3,10.0,102.0,0.64
2024-11-29 00:10:00,2240013000,3,15.0,97.1,0.968
2024-11-29 00:10:00,2240012900,1,5.0,102.9,0.286
2024-11-29 00:10:00,2240010000,5,9.0,91.4,0.62
2024-11-29 00:10:00,2240010000,4,19.0,91.75,0.668
2024-11-29 00:10:00,2240012900,2,14.0,89.2,0.956
2024-11-29 00:15:00,2240157300,2,30.0,89.3,1.195
2024-11-29 00:15:00,2240014201,1,5.0,102.0,0.292
2024-11-29 00:15:00,2240014201,2,19.0,88.7,1.34
2024-11-29 00:15:00,2240014201,3,16.0,101.5,0.942
2024-11-29 00:15:00,2240014201,4,22.0,90.2,1.534
2024-11-29 00:15:00,2240157100,1,7.0,96.0,0.7
2024-11-29 00:15:00,2240157100,2,16.0,92.7,1.13
2024-11-29 00:15:00,2240157100,3,4.0,97.4,0.226
2024-11-29 00:15:00,2240157300,1,10.0,97.75,0.482
2024-11-29 00:15:00,2240157400,1,3.0,99.5,0.264
2024-11-29 00:15:00,2240014101,4,12.0,92.4,0.856
2024-11-29 00:15:00,2240157400,3,7.0,86.8,1.346
2024-11-29 00:15:00,2240157900,1,23.0,92.5,0.8087
2024-11-29 00:15:00,2240157900,2,33.0,87.67,1.0873
2024-11-29 00:15:00,2240157900,3,17.0,88.37,0.932
2024-11-29 00:15:00,2240160800,1,4.0,99.25,0.155
2024-11-29 00:15:00,2240160800,2,25.0,87.5,1.663
2024-11-29 00:15:00,2240160800,3,6.0,89.55,0.684
2024-11-29 00:15:00,2240160900,1,9.0,100.25,0.662
2024-11-29 00:15:00,2240160900,2,26.0,88.55,2.236
2024-11-29 00:15:00,2240160900,3,19.0,86.1,1.279
2024-11-29 00:15:00,2240157400,2,14.0,85.9,1.26
2024-11-29 00:15:00,2240014101,3,18.0,88.5,1.232
2024-11-29 00:15:00,2240157300,3,11.0,92.1,0.786
2024-11-29 00:15:00,2240014101,1,7.0,96.8,0.442
2024-11-29 00:15:00,2240007900,1,0.0,0.0,0.0
2024-11-29 00:15:00,2240007900,2,12.0,94.2,0.806
2024-11-29 00:15:00,2240007900,3,11.0,83.8,0.87
2024-11-29 00:15:00,2240007900,4,8.0,90.4,0.572
2024-11-29 00:15:00,2240007900,5,2.0,97.1,0.14
2024-11-29 00:15:00,2240009900,1,5.0,106.7,0.264
2024-11-29 00:15:00,2240009900,2,11.0,94.4,0.71
2024-11-29 00:15:00,2240009900,3,9.0,97.3,0.56
2024-11-29 00:15:00,2240009900,4,2.0,95.2,0.156
2024-11-29 00:15:00,2240010000,1,5.0,103.95,0.124
2024-11-29 00:15:00,2240010000,2,23.0,97.05,0.725
2024-11-29 00:15:00,2240014101,2,21.0,88.7,1.442
2024-11-29 00:15:00,2240013000,4,2.0,96.8,0.144
2024-11-29 00:15:00,2240010000,4,10.0,93.6,0.358
2024-11-29 00:15:00,2240010000,5,2.0,97.1,0.14
2024-11-29 00:15:00,2240012900,1,5.0,106.7,0.264
2024-11-29 00:15:00,2240012900,2,11.0,94.4,0.71
2024-11-29 00:15:00,2240012900,3,9.0,97.3,0.56
2024-11-29 00:15:00,2240012900,4,2.0,95.2,0.156
2024-11-29 00:15:00,2240013000,1,5.0,107.9,0.248
2024-11-29 00:15:00,2240013000,2,11.0,99.9,0.644
2024-11-29 00:15:00,2240013000,3,11.0,105.1,0.662
2024-11-29 00:15:00,2240010000,3,22.0,94.45,0.766
2024-11-29 00:20:00,2240157300,2,22.0,85.8,1.041
2024-11-29 00:20:00,2240157300,1,11.0,93.6,0.752
2024-11-29 00:20:00,2240157100,3,0.0,0.0,0.0
2024-11-29 00:20:00,2240157100,2,10.0,87.9,0.838
2024-11-29 00:20:00,2240157100,1,4.0,96.9,0.638
2024-11-29 00:20:00,2240014201,3,24.0,98.2,1.544
2024-11-29 00:20:00,2240014201,2,21.0,89.3,1.428
2024-11-29 00:20:00,2240014201,1,2.0,101.7,0.112
2024-11-29 00:20:00,2240157300,3,2.0,97.45,0.161
2024-11-29 00:20:00,2240014201,4,16.0,90.5,1.218
2024-11-29 00:20:00,2240157400,1,7.0,90.3,0.866
2024-11-29 00:20:00,2240157900,3,13.0,93.13,0.8173
2024-11-29 00:20:00,2240157400,3,2.0,94.9,0.322
2024-11-29 00:20:00,2240157900,1,29.0,91.87,1.3327
2024-11-29 00:20:00,2240157900,2,22.0,92.7,0.926
2024-11-29 00:20:00,2240014101,4,14.0,90.0,1.044
2024-11-29 00:20:00,2240160800,1,9.0,95.8,0.635
2024-11-29 00:20:00,2240160800,2,32.0,89.95,2.468
2024-11-29 00:20:00,2240160800,3,6.0,96.75,0.483
2024-11-29 00:20:00,2240160900,1,7.0,100.05,0.451
2024-11-29 00:20:00,2240160900,2,28.0,86.65,1.973
2024-11-29 00:20:00,2240160900,3,14.0,87.2,1.141
2024-11-29 00:20:00,2240157400,2,12.0,83.7,1.244
2024-11-29 00:20:00,2240014101,3,15.0,93.2,1.012
2024-11-29 00:20:00,2240014101,2,16.0,88.2,1.106
2024-11-29 00:20:00,2240014101,1,2.0,99.4,0.124
2024-11-29 00:20:00,2240007900,1,1.0,99.4,0.064
2024-11-29 00:20:00,2240007900,2,20.0,88.5,1.346
2024-11-29 00:20:00,2240007900,3,11.0,89.5,0.756
2024-11-29 00:20:00,2240007900,4,10.0,90.5,0.708
2024-11-29 00:20:00,2240007900,5,4.0,94.9,0.298
2024-11-29 00:20:00,2240009900,1,2.0,103.2,0.102
2024-11-29 00:20:00,2240009900,3,5.0,95.6,0.336
2024-11-29 00:20:00,2240009900,4,1.0,98.5,0.07
2024-11-29 00:20:00,2240010000,1,3.0,101.1,0.084
2024-11-29 00:20:00,2240010000,2,35.0,94.25,1.134
2024-11-29 00:20:00,2240009900,2,9.0,97.5,0.562
2024-11-29 00:20:00,2240010000,4,16.0,92.65,0.555
2024-11-29 00:20:00,2240010000,3,22.0,92.9,0.723
2024-11-29 00:20:00,2240013000,3,11.0,96.3,0.69
2024-11-29 00:20:00,2240013000,2,15.0,100.0,0.922
2024-11-29 00:20:00,2240013000,1,2.0,102.8,0.104
2024-11-29 00:20:00,2240012900,4,1.0,98.5,0.07
2024-11-29 00:20:00,2240013000,4,6.0,94.8,0.402
2024-11-29 00:20:00,2240012900,2,9.0,97.5,0.562
2024-11-29 00:20:00,2240012900,1,2.0,103.2,0.102
2024-11-29 00:20:00,2240010000,5,4.0,94.9,0.298
2024-11-29 00:20:00,2240012900,3,5.0,95.6,0.336
2024-11-29 00:25:00,2240157300,2,24.0,80.6,1.431
2024-11-29 00:25:00,2240014101,4,12.0,90.9,0.844
2024-11-29 00:25:00,2240014201,1,6.0,104.3,0.324
2024-11-29 00:25:00,2240014201,2,22.0,93.6,1.456
2024-11-29 00:25:00,2240014201,3,25.0,89.8,1.688
2024-11-29 00:25:00,2240014201,4,20.0,85.8,1.426
2024-11-29 00:25:00,2240157100,1,8.0,91.9,0.53
2024-11-29 00:25:00,2240157100,2,10.0,83.8,1.208
2024-11-29 00:25:00,2240157100,3,2.0,96.8,0.096
2024-11-29 00:25:00,2240157300,1,12.0,92.2,0.48
2024-11-29 00:25:00,2240157300,3,7.0,94.85,0.365
2024-11-29 00:25:00,2240160900,2,32.0,85.2,2.196
2024-11-29 00:25:00,2240157400,2,14.0,77.4,1.654
2024-11-29 00:25:00,2240157400,3,5.0,92.9,0.634
2024-11-29 00:25:00,2240157900,1,31.0,91.8,1.1193
2024-11-29 00:25:00,2240157900,2,27.0,90.43,1.0127
2024-11-29 00:25:00,2240157900,3,11.0,93.6,0.5887
2024-11-29 00:25:00,2240160800,1,5.0,98.05,0.307
2024-11-29 00:25:00,2240160800,2,32.0,96.4,2.339
2024-11-29 00:25:00,2240160800,3,8.0,96.5,0.646
2024-11-29 00:25:00,2240160900,1,10.0,100.35,0.672
2024-11-29 00:25:00,2240014101,3,16.0,85.8,1.172
2024-11-29 00:25:00,2240157400,1,4.0,92.5,0.43
2024-11-29 00:25:00,2240160900,3,20.0,86.65,1.479
2024-11-29 00:25:00,2240014101,2,18.0,89.8,1.2
2024-11-29 00:25:00,2240013000,4,5.0,91.0,0.364
2024-11-29 00:25:00,2240007900,1,4.0,99.7,0.24
2024-11-29 00:25:00,2240007900,2,10.0,94.6,0.662
2024-11-29 00:25:00,2240007900,3,11.0,89.4,0.762
2024-11-29 00:25:00,2240007900,4,10.0,91.9,0.722
2024-11-29 00:25:00,2240007900,5,4.0,92.4,0.302
2024-11-29 00:25:00,2240009900,1,3.0,101.5,0.166
